id,sloka(iast),translation
36,hastapādāṅgadāheṣu jvare rakte tathordhvage|  vāsāghṛtaṃ śatāvaryā siddhaṃ vā paramaṃ hitam||105||,"In cases of burning sensations in the hands, feet and limbs, fever and hemorrhage from the upper orifices of the body, vasa ghee or shatavari ghee proves very beneficial.[105]"
37,durālabhāṃ śvadaṃṣṭrāṃ ca catasraḥ parṇinīrbalām|  bhāgānpalonmitān kṛtvā palaṃ parpaṭakasya ca||106||  paceddaśaguṇe toye daśabhāgāvaśeṣite|  rase supūte dravyāṇāmeṣāṃ kalkān samāvapet||107||  śaṭyāḥ puṣkaramūlasya pippalītrāyamāṇayoḥ|  tāmalakyāḥ kirātānāṃ tiktasya kuṭajasya ca||108||  phalānāṃ sārivāyāśca supiṣṭān karṣasammitān|  tatastena ghṛtaprasthaṃ kṣīradviguṇitaṃ pacet||109||  jvaraṃ dāhaṃ bhramaṃ kāsamaṃsapārśvaśirorujam|  tṛṣṇāṃ chardimatīsārametat sarpirvyapohati||110||,"Decoct 48 gram each of cretan prickly clover, diminutive caltrops, and the tetrad of the drugs called parnini, sida and trailing rungia, in ten times the quantity of water. When it is reduced to one tenth of its quantity, the solution should be filtered and a medicated ghee should be prepared by mixing these into a solution along with the paste of one tola each of zedoary, orris root, long pepper, zalil, feather foil, chiretta, kurchi seeds, and Indian sarsaparilla and 64 tolas of ghee and double this quantity of milk. This ghee is effective in healing fever, burning sensations, giddiness, cough, headache, pain in flanks and shoulder region, thirst, regurgitating and diarrhea. [106-110]"
38,jīvantīṃ madhukaṃ drākṣāṃ phalāni kuṭajasya ca|  śaṭīṃ puṣkaramūlaṃ ca vyāghrīṃ gokṣurakaṃ balām||111||  nīlotpalaṃ tāmalakīṃ trāyamāṇāṃ durālabhām|  pippalīṃ ca samaṃ piṣṭvā ghṛtaṃ vaidyo vipācayet||112||  etadvyādhisamūhasya rogeśasya samutthitam|  rūpamekādaśavidhaṃ sarpiragryaṃ vyapohati||113||,"The physician may prepare a medicated ghee by integrating pastes of equal quantities of cork swallow-wort, liquorice, grape, kurchi seeds, zedoary, orris roots, Indian night- shade, diminutive caltrops, heart leaved sida, blue water-lily, feature foil, zalil, cretan prickly clover and long pepper. This excellent medicated ghee remedies the eleven symptoms of rajayakshma.[111-113]"
39,balāṃ sthirāṃ pṛśniparṇīṃ bṛhatīṃ sanidigdhikām|  sādhayitvā rase tasminpayo gavyaṃ sanāgaram||114||  drākṣākharjūrasarpirbhiḥ pippalyā ca śṛtaṃ saha|  sakṣaudraṃ jvarakāsaghnaṃ svaryaṃ caitat prayojayet||115||  ājasya payasaścaivaṃ prayogo jāṅgalā rasāḥ|  yūṣārthe caṇakā mudgā makuṣṭhāścopakalpitāḥ||116||,"Decoct in water the heart-leaved sida tick-trefoil, painted leaved uraria and yellow berried night- shade and prepare a medicated ghee by integrating to this decoction cow’s milk, the pulp of dry ginger, dates, ghee and long pepper. This milk, taken with honey, remedies fever and cough and amends the voice.   Similarly, goat’s milk along with the meat-juice of jungala animals and chick pea, green gram and math gram, prepared in the form of soup, may additionally be utilized as wholesome diet.[114-116]"
40,jvarāṇāṃ śamanīyo yaḥ pūrvamuktaḥ kriyāvidhiḥ|  yakṣmiṇāṃ jvaradāheṣu sasarpiṣkaḥ praśasyate||117||,Medicinal pacification measures described earlier (in Jwara Chikitsa) are employed with ghee for the treatment of fever and burning sensations in the cases of patients suffering from rajayakshma. [117]
41,kaphapraseke balavāñ ślaiṣmikaśchardayennaraḥ|  payasā phalayuktena mādhukena [1] rasena vā||118||  sarpiṣmatyā yavāgvā vā vamanīyopasiddhayā|  vānto'nnakāle laghvannamādadīta sadīpanam||119||  yavagodhūmamādhvīkasidhvariṣṭasurāsavān|  jāṅgalāni ca śūlyāni sevamānaḥ kaphaṃ jayet||120||  śleṣmaṇo'tiprasekena vāyuḥ śleṣmāṇamasyati|  kaphaprasekaṃ taṃ vidvān snigdhoṣṇenaiva nirjayet||121||  kriyā kaphapraseke yā vamyāṃ saiva praśasyate|  hṛdyāni cānnapānāni vātaghnāni laghūni ca||122||,"In cases of excessive expectoration of phlegm in a strong patient and kapha dominant condition, he should be treated with emesis by a draught of milk mixed with emetic nut or with liquorice decoction mixed with emetic nut, or gruel prepared with emetic drugs and mixed with ghee. And after proper emesis, light diet along with digestive stimulants should be given in meals.   The person who is taking the diet consisting of barley and wheat, honey wine, sidhu wine, medicated wine and the spit roasted meat of animals of arid habitat will subdue his kapha dosha.  When there is excessive formation of phlegm, the vata expels this phlegm out of the body. This type of excessive phlegm expectoration should be treated with unctuous and hot medications.   This line of treatment for excess expectoration is also recommended for vomiting. A diet consisting of food and beverages that are hridya ( liked by mind), alleviate vata and light to digest are advised. [118-122]"
42,prāyeṇopahatāgnitvāt sapicchamatisāryate|  prāpnoti cāsyavairasyaṃ na cānnamabhinandati||123||  tasyāgnidīpanān yogānatīsāranibarhaṇān|  vaktraśuddhikarān kuryādarucipratibādhakān||124|| sanāgarānindrayavān pāyayettaṇḍulāmbunā|  siddhāṃ yavāgūṃ jīrṇe ca cāṅgerītakradāḍimaiḥ||125||  pāṭhā bilvaṃ yamānī ca pātavyaṃ takrasaṃyutam|  durālabhā śṛṅgaveraṃ pāṭhā ca surayā saha||126||  jambvāmramadhyaṃ bilvaṃ ca sakapitthaṃ sanāgaram|  peyāmaṇḍena pātavyamatīsāranivṛttaye||127||  etāneva ca yogāṃstrīn pāṭhādīn kārayet khaḍān|  sasūpyadhānyānsasnehān [2] sāmlānsaṅgrahaṇān param||128||  vetasārjunajambūnāṃ mṛṇālīkṛṣṇagandhayoḥ|  śrīparṇyā madayantyāśca yūthikāyāśca pallavān||129||  mātuluṅgasya dhātakyā dāḍimasya ca kārayet|  snehāmlalavaṇopetān khaḍān sāṅgrāhikān param||130||  cāṅgeryāścukrikāyāśca dugdhikāyāśca kārayet|  khaḍāndadhisaropetān sasarpiṣkānsadāḍimān||131||  māṃsānāṃ laghupākānāṃ rasāḥ sāṅgrāhikairyutāḥ|  vyañjanārthaṃ praśasyante bhojyārthaṃ raktaśālayaḥ||132||  sthirādipañcamūlena pāne śastaṃ śṛtaṃ jalam|  takraṃ surā sacukrīkā dāḍimasyāthavā rasaḥ||133||  ityuktaṃ bhinnaśakṛtāṃ dīpanaṃ grāhi bheṣajam|134|,"Due to the impairement of agni, diarrhea accompanied with mucus occurs in patients of rajayakshma. Further distaste in the mouth (asyavairasya) and aversion towards food occurs. The following recipes to stimulate digestion, treat diarrhea, cleanse up mouth to enhance taste and counteract anorexia are described.  Indrayava (Wrightia tinctoria) with nagara (zingiber officinale) admixed with tandulambu (rice water), and yavagu (thick gruel) cooked along with changeri (Oxalis corniculata), butter-milk, and pomegranate (punica granatum) Potion made up of patha (Cyclea peltata), bilva (Agele Marmelos), and yavani (Carum copticum) mixed with buttermilk. Duralabha (Fagonia cretica), sringavera (Zingiber officinale), and patha (Cyclea peltata) taken along with sura (wine). Pulp of the seeds of jambu (Syzygium cumini) and amra (Mangifera Indica), bilva (Aegle marmelos), kapittha (limonia acidissima) and nagara (zingiber  officinale) mixed with manda of peya (i.e. cream of a thin gruel) The last two recipes could also be prepared in the form of khada (a type of sour drink) by adding fats, sour ingredients, and pulses. These are also very effective recipes to cure diarrhea. Some of the recipes for preparing khada include: Mixing the leaves of vetasa (Garcinia pedunculata), arjuna (Terminalia arjuna), jambu (Syzygium cumini), mrinali, krishnagandha, sriparni (Gmelina arborea), madayanti (Lawsonia inermis), and yuthika (Jasminum auriculatum) mixed with matulunga (Citrus medica), dhataki (Woodfordia fruticosa), dadima (Punica granatum), fats, sour ingredients, and salt. Changeri (Oxalis corniculata), chukrika (Rumex vesicarius), and dugdhika (Euphorbia thymifolia) mixed with cream of curd, ghee, and dadima (Punica granatum) Soups of different types of meat (light to digest), mixed with astringent ingredients, consumed with shali rice  - are effective remedies for counteracting diarrhea. Water boiled with laghupanchamula (shalaparni, prishnaparni (Uraria picta), brihati (Solanum indicum), kantakari (Solanum xanthocarpum) and goksura (Tribulus terrestris), butter, sura, chukrika (Rumex vesicarius) and the juice of dadima (Punica granatum) makes for an excellent digestive stimulant and grahi (constipative) for patients of tuberculosis suffering from bouts of diarrhea [123-134]"
43,paraṃ mukhasya vairasyanāśanaṃ rocanaṃ śṛṇu [3] ||134||  dvau kālau dantapavanaṃ bhakṣayenmukhadhāvanam|  tadvat prakṣālayedāsyaṃ dhārayet kavalagrahān||135||  pibeddhūmaṃ tato mṛṣṭamadyāddīpanapācanam|  bheṣajaṃ pānamannaṃ ca hitamiṣṭopakalpitam||136||  tvaṅmustamelā dhānyāni mustamāmalakaṃ tvacam|  dārvītvaco yavānī ca tejohvā pippalī tathā||137||  yavānī tintiḍīkaṃ ca pañcaite mukhadhāvanāḥ|  ślokapādeṣvabhihitā rocanā mukhaśodhanāḥ||138||  guṭikāṃ dhārayedāsye cūrṇairvā śodhayenmukham|  eṣāmāloḍitānāṃ vā dhārayet kavalagrahān||139||  surāmādhvīkasīdhūnāṃ tailasya madhusarpiṣoḥ|  kavalān dhārayediṣṭān kṣīrasyekṣurasasya ca||140||,"Now, hear this description of remedies for the removal of distaste in the mouth and for enhancing appetite. These are as follows:  Tooth-twigs should be used twice a day for brushing one’s teeth and then use mukhadhavana (drugs chewed for alleviating vitiated doshas in the mouth). Wash the mouth and use kavala graha (keeping mouthful of medicinal preparations in a thin paste form in the oral cavity), and Smoke medicated cigars and, thereafter, take digestive stimulant drugs, and wholesome food, and drinks. The recipe for mukhadhavana are: (1)Cinnamon, nut-grass, cardamom and coriander; (2) nut- grass, emblic myrobalan and cinnamon; (3) Indian berberry and cinnamon; (4) Indian tooth-ache tree and long pepper; (5) bishop’s weed and tamarind- these five groups of mouthwashes mentioned one in each quarter verse, act as taste stimulant and relish-givers and mouth- cleansers. Pills prepared of these may be kept in the mouth; or the mouth may be cleansed with these powders; or a mouthful of water commixed with these powders may be kept for a time in the mouth. Mouthfuls of sura, madhvika or sidhu wines, oil, honey ghee, milk or sugar-cane juice may be utilized as found beneficial. [134-140]"
44,yavānīṃ tintiḍīkaṃ ca nāgaraṃ sāmlavetasam|  dāḍimaṃ badaraṃ cāmlaṃ kārṣikaṃ copakalpayet||141||  dhānyasauvarcalājājīvarāṅgaṃ cārdhakārṣikam|  pippalīnāṃ śataṃ caikaṃ dve śate maricasya ca||142||  śarkarāyāśca catvāri palānyekatra cūrṇayet|  jihvāviśodhanaṃ hṛdyaṃ taccūrṇaṃ bhaktarocanam||143||  hṛtplīhapārśvaśūlaghnaṃ vibandhānāhanāśanam|  kāsaśvāsaharaṃ grāhi grahaṇyarśovikāranut||144||  iti yavānīṣāḍavam,"Bishop’s weed, tamarind, dry ginger, country sorrel, pomegranate, sour jujube - take one tola each of these and half tolas of coriander, rock-salt, cumin seeds, cinnamon, one hundred pieces of long pepper, 200 ebony pepper grains and 16 tolas of sugar: all these should be powdered and commixed together. This powder is tongue-detergent, cordial, and refreshing, curative of pain in the stomach, splenic region and flanks, and remedies constipation, tympanitis, cough and dyspnea. It is an astringent and is curative of assimilative disorders and hemorrhoids. Thus has been described the shadava preparation of bishop’s weed. [141-144]"
45,tālīśapatraṃ maricaṃ nāgaraṃ pippalī śubhā|  yathottaraṃ bhāgavṛddhyā tvagele cārdhabhāgike||145||  pippalyaṣṭaguṇā cātra pradeyā sitaśarkarā|  kāsaśvāsāruciharaṃ taccūrṇaṃ dīpanaṃ param||146||  hṛtpāṇḍugrahaṇīdoṣaśoṣaplīhajvarāpaham|  vamyatīsāraśūlaghnaṃ mūḍhavātānulomanam||147||  kalpayedguṭikāṃ caitaccūrṇaṃ paktvā sitopalām|  guṭikā hyagnisaṃyogāccūrṇāllaghutarāḥ smṛtāḥ||148||  iti tālīśādyaṃ cūrṇaṃ guṭikāśca,"Take Himalayan silver fir, ebony pepper, dry ginger and long pepper and in proportions of 1,2,3 and 4 chunks/pieces respectively; cinnamon and cardamom in the proportion of ½ part each and white sugar eight times the quantity of long pepper (32 components). This powder is curative of cough, dyspnea and anorexia and is an excellent digestive stimulant, alleviative of stomach disorders anemia, assimilation disorders, rajayakshma, splenic disorders, fever, regurgitating, diarrhea, colic and alleviate aggravated vata. Pills can also be prepared from this formulation after processing it with sugar water on fire. The pills are light to digest because of they are processed on fire. [145-148]"
46,śuṣyatāṃ kṣīṇamāṃsānāṃ kalpitāni vidhānavit|  dadyānmāṃsādamāṃsāni bṛṃhaṇāni viśeṣataḥ||149||  śoṣiṇe bārhiṇaṃ dadyādbarhiśabdena cāparān|  gṛdhrānulūkāṃścāṣāṃśca vidhivat sūpakalpitān||150||  kākāṃstittiriśabdena varmiśabdena coragān|  bhṛṣṭān matsyāntraśabdena dadyādgaṇḍūpadānapi||151||  lopākān sthūlanakulān biḍālāṃścopakalpitān|  śṛgālaśāvāṃśca bhiṣak śaśaśabdena dāpayet||152||  siṃhānṛkṣāṃstarakṣūṃśca vyāghrānevaṃvidhāṃstathā|  māṃsādān mṛgaśabdena dadyānmāṃsābhivṛddhaye||153||  gajakhaḍgituraṅgāṇāṃ veśavārīkṛtaṃ bhiṣak|  dadyānmahiṣaśabdena māṃsaṃ māṃsābhivṛddhaye||154||  māṃsenopacitāṅgānāṃ māṃsaṃ māṃsakaraṃ param|  tīkṣṇoṣṇalāghavācchastaṃ viśeṣānmṛgapakṣiṇām||155||,"The patient who are emaciated and depleted with mamsa dhatu (flesh), should be prescribed with dishes of the meats of carnivorous animals intended for special nourishment therapy.   The flesh of peacock should be given to the patient, and that of vultures, owls and blue jays, well prepared in the prescribed manner, should be given in the denomination of peacock’s flesh.   In the denomination of partridge, give the flesh of crows; in the denomination of the snake fish, give the flesh of snakes, and in the designation of the intestines of fish, give fried earth-worms.   The physician may give dressed meats of the fox, astronomically immense mongoose, feline and jackal-cubs in the designation of rabbit-flesh.   The flesh of lion, bear, hyena, tiger, and such other carnivorous animals may be given in the denomination of the flesh of deer for strengthening the patient.   The meats of elephant, rhinoceros and horse well-seasoned with spices should be given in the denomination of buffalo-flesh, for promoting the flesh of the patient. The flesh of birds and animals that have grown plump on flesh diet is an excellent flesh-enhancing food. because of its quick action, hot potency and light to digest nature. [149-155]"
